"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.541222946E0,9.690531731E0,-2.873042040E-2,8.966285586E-1,9.731966576E0
2.551157514E0,9.677363396E0,-3.351882473E-2,9.002198577E-1,9.719201695E0
2.561202793E0,9.692925453E0,-2.873042040E-2,9.026140571E-1,9.734903257E0
2.571590380E0,9.685743332E0,-3.591302410E-2,9.062053561E-1,9.728109877E0
2.581433314E0,9.686940193E0,-2.753331885E-2,8.966285586E-1,9.728386874E0
2.591373245E0,9.689333916E0,-3.112462163E-2,8.966285586E-1,9.730781225E0
2.601230658E0,9.689333916E0,-3.351882473E-2,8.978256583E-1,9.730899555E0
2.611190823E0,9.683348656E0,-2.753331885E-2,9.074024558E-1,9.725809914E0
2.621593848E0,9.680954933E0,-3.830722719E-2,9.002198577E-1,9.722795465E0
2.631521377E0,9.689333916E0,-2.633621916E-2,8.990227580E-1,9.730987989E0
2.641338943E0,9.685743332E0,-2.992752194E-2,9.038111567E-1,9.727866886E0
2.651416971E0,9.679757118E0,-3.591302410E-2,9.062053561E-1,9.722149750E0
2.661499787E0,9.678560257E0,-3.830722719E-2,9.014169574E-1,9.720522034E0
2.671292601E0,9.684545517E0,-2.633621916E-2,8.978256583E-1,9.726109519E0
2.681190701E0,9.689333916E0,-3.950432688E-2,8.942343593E-1,9.730591319E0
2.691139855E0,9.690531731E0,-3.232172132E-2,9.074024558E-1,9.732976376E0
2.701176437E0,9.683348656E0,-3.830722719E-2,8.990227580E-1,9.725068151E0
2.712097697E0,9.688137054E0,-3.351882473E-2,9.026140571E-1,9.730150833E0
2.721598796E0,9.684545517E0,-4.189852998E-2,9.014169574E-1,9.726496280E0
2.731578121E0,9.680954933E0,-2.873042040E-2,9.038111567E-1,9.723095621E0
2.741334060E0,9.691728592E0,-3.351882473E-2,9.085995555E-1,9.734283731E0
2.751311118E0,9.685743332E0,-3.112462163E-2,9.109937549E-1,9.728540603E0
2.762152798E0,9.685743332E0,-3.591302410E-2,8.894459605E-1,9.726562998E0
2.771721789E0,9.683348656E0,-3.711012751E-2,9.050082564E-1,9.725618659E0
2.781672066E0,9.686940193E0,-2.992752194E-2,9.050082564E-1,9.729169847E0
2.791386709E0,9.680954933E0,-2.394201607E-2,9.038111567E-1,9.723082651E0
2.801305411E0,9.683348656E0,-3.591302410E-2,9.109937549E-1,9.726172965E0
2.811268668E0,9.686940193E0,-3.591302410E-2,9.050082564E-1,9.729190100E0
2.821380583E0,9.684545517E0,-3.351882473E-2,8.990227580E-1,9.726242198E0
2.831505057E0,9.690531731E0,-3.830722719E-2,9.026140571E-1,9.732552841E0
2.841352684E0,9.684545517E0,-2.394201607E-2,8.966285586E-1,9.725992899E0
2.851222670E0,9.683348656E0,-3.711012751E-2,9.050082564E-1,9.725618659E0
2.861160501E0,9.679757118E0,-2.633621916E-2,9.062053561E-1,9.722119091E0
2.871126734E0,9.676166534E0,-4.189852998E-2,9.038111567E-1,9.718375836E0
2.881108106E0,9.685743332E0,-3.950432688E-2,9.050082564E-1,9.728012358E0
2.891091969E0,9.692925453E0,-3.232172132E-2,9.002198577E-1,9.734692821E0
2.901092364E0,9.679757118E0,-2.992752194E-2,8.966285586E-1,9.721241500E0
2.911826364E0,9.682151794E0,-3.711012751E-2,8.990227580E-1,9.723871783E0
2.921456280E0,9.686940193E0,-3.351882473E-2,9.026140571E-1,9.728959140E0
