"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.196303067E0,-8.140286058E-2,-4.560954273E-1,9.677363396E0,9.688447335E0
1.206337210E0,-7.661445439E-2,-4.537012279E-1,9.653421402E0,9.664380960E0
1.216456052E0,-8.020575345E-2,-4.513070285E-1,9.673771858E0,9.684625597E0
1.226450031E0,-7.182604820E-2,-4.572925270E-1,9.679757118E0,9.690819021E0
1.236396604E0,-8.259996027E-2,-4.537012279E-1,9.673771858E0,9.684757587E0
1.246382286E0,-7.781155407E-2,-4.513070285E-1,9.676166534E0,9.686998063E0
1.256404632E0,-7.422025502E-2,-4.489128292E-1,9.668983459E0,9.679683492E0
1.266387133E0,-7.302315533E-2,-4.489128292E-1,9.661801338E0,9.672500205E0
1.276381300E0,-8.259996027E-2,-4.405331016E-1,9.667786598E0,9.678170792E0
1.286366170E0,-7.062894851E-2,-4.417302012E-1,9.679757118E0,9.690088332E0
1.296393944E0,-8.140286058E-2,-4.453215301E-1,9.679757118E0,9.690337226E0
1.306407753E0,-7.900865376E-2,-4.525041282E-1,9.678560257E0,9.689454629E0
1.316391376E0,-8.379705995E-2,-4.453215301E-1,9.678560257E0,9.689162082E0
1.326389333E0,-7.422025502E-2,-4.537012279E-1,9.674968719E0,9.685885255E0
1.336622661E0,-8.140286058E-2,-4.465186298E-1,9.660603523E0,9.671259781E0
1.346499403E0,-8.259996027E-2,-4.608838260E-1,9.671378136E0,9.682705805E0
1.356474441E0,-7.062894851E-2,-4.405331016E-1,9.678560257E0,9.688838244E0
1.366413835E0,-7.422025502E-2,-4.477157295E-1,9.670180321E0,9.680823594E0
1.376412959E0,-8.499415964E-2,-4.513070285E-1,9.676166534E0,9.687058421E0
1.386560724E0,-8.020575345E-2,-4.525041282E-1,9.676166534E0,9.687073436E0
1.396785882E0,-8.020575345E-2,-4.584896266E-1,9.674968719E0,9.686158445E0
1.406588904E0,-7.661445439E-2,-4.441244006E-1,9.673771858E0,9.684264465E0
1.416506587E0,-7.661445439E-2,-4.501099288E-1,9.682151794E0,9.692911435E0
1.426380506E0,-7.900865376E-2,-4.560954273E-1,9.662998199E0,9.674078747E0
1.436396763E0,-7.062894851E-2,-4.429273009E-1,9.677363396E0,9.687751820E0
1.446397417E0,-7.422025502E-2,-4.525041282E-1,9.673771858E0,9.684633736E0
1.456396052E0,-7.781155407E-2,-4.465186298E-1,9.680954933E0,9.691559314E0
1.466402713E0,-8.259996027E-2,-4.501099288E-1,9.674968719E0,9.685785535E0
1.476414898E0,-7.781155407E-2,-4.537012279E-1,9.677363396E0,9.688305411E0
1.486411615E0,-7.661445439E-2,-4.489128292E-1,9.682151794E0,9.692855919E0
1.496398672E0,-6.584054977E-2,-4.501099288E-1,9.678560257E0,9.689244685E0
1.506792018E0,-8.020575345E-2,-4.537012279E-1,9.676166534E0,9.687129429E0
1.516804524E0,-7.900865376E-2,-4.537012279E-1,9.665391922E0,9.676357175E0
1.526525491E0,-8.140286058E-2,-4.501099288E-1,9.658209801E0,9.669035212E0
1.536440974E0,-8.259996027E-2,-4.513070285E-1,9.666589737E0,9.677471670E0
1.546430382E0,-7.422025502E-2,-4.501099288E-1,9.688137054E0,9.698871438E0
1.556431805E0,-7.900865376E-2,-4.525041282E-1,9.680954933E0,9.691846613E0
1.566411657E0,-7.422025502E-2,-4.429273009E-1,9.673771858E0,9.684190994E0
1.576448302E0,-7.781155407E-2,-4.501099288E-1,9.661801338E0,9.672593173E0
1.586453577E0,-7.781155407E-2,-4.513070285E-1,9.665391922E0,9.676235512E0
1.596417439E0,-8.259996027E-2,-4.513070285E-1,9.679757118E0,9.690624266E0
1.606392365E0,-7.900865376E-2,-4.453215301E-1,9.672574997E0,9.683143121E0
1.616691911E0,-7.541735470E-2,-4.429273009E-1,9.677363396E0,9.687787914E0
1.626555330E0,-6.584054977E-2,-4.489128292E-1,9.676166534E0,9.686798052E0
1.636458211E0,-7.781155407E-2,-4.513070285E-1,9.665391922E0,9.676235512E0
1.646401787E0,-7.661445439E-2,-4.513070285E-1,9.671378136E0,9.682205475E0
1.656388002E0,-8.140286058E-2,-4.477157295E-1,9.667786598E0,9.678490249E0
1.666389052E0,-7.422025502E-2,-4.513070285E-1,9.677363396E0,9.688165408E0
1.676383796E0,-6.344634295E-2,-4.441244006E-1,9.674968719E0,9.685364817E0
1.686367106E0,-8.379705995E-2,-4.537012279E-1,9.671378136E0,9.682376867E0
1.696364881E0,-7.900865376E-2,-4.441244006E-1,9.668983459E0,9.679500503E0
1.706316633E0,-8.259996027E-2,-4.453215301E-1,9.668983459E0,9.679585485E0
1.716349983E0,-7.422025502E-2,-4.537012279E-1,9.666589737E0,9.677515724E0
1.726399210E0,-7.900865376E-2,-4.489128292E-1,9.676166534E0,9.686896505E0
1.736379578E0,-6.584054977E-2,-4.465186298E-1,9.682151794E0,9.692666157E0
1.746413695E0,-7.182604820E-2,-4.620809257E-1,9.667786598E0,9.679089599E0
1.756334711E0,-7.781155407E-2,-4.501099288E-1,9.677363396E0,9.688137895E0
1.766342094E0,-8.140286058E-2,-4.596867263E-1,9.667786598E0,9.679051401E0
1.776360864E0,-7.900865376E-2,-4.477157295E-1,9.668983459E0,9.679665949E0
1.786299077E0,-7.661445439E-2,-4.537012279E-1,9.680954933E0,9.691883357E0
1.796333496E0,-7.781155407E-2,-4.572925270E-1,9.676166534E0,9.687278766E0
1.806275888E0,-8.858546615E-2,-4.429273009E-1,9.671378136E0,9.681920627E0
1.816315209E0,-7.900865376E-2,-4.489128292E-1,9.667786598E0,9.678525859E0
1.826611302E0,-7.661445439E-2,-4.548983276E-1,9.670180321E0,9.681177082E0
1.836476926E0,-7.661445439E-2,-4.417302012E-1,9.674968719E0,9.685350539E0
1.846449582E0,-8.140286058E-2,-4.441244006E-1,9.670180321E0,9.680715900E0
1.856415285E0,-7.541735470E-2,-4.560954273E-1,9.670180321E0,9.681224006E0
1.866399907E0,-6.344634295E-2,-4.501099288E-1,9.676166534E0,9.686837626E0
1.876426802E0,-8.259996027E-2,-4.513070285E-1,9.667786598E0,9.678667186E0
1.886663635E0,-7.900865376E-2,-4.465186298E-1,9.664195061E0,9.674827514E0
1.896444187E0,-7.302315533E-2,-4.525041282E-1,9.670180321E0,9.681037124E0
1.906343108E0,-8.020575345E-2,-4.525041282E-1,9.674968719E0,9.685876970E0
1.916688480E0,-7.422025502E-2,-4.405331016E-1,9.678560257E0,9.688865089E0
1.926526974E0,-7.062894851E-2,-4.525041282E-1,9.673771858E0,9.684606879E0
1.936436221E0,-7.302315533E-2,-4.441244006E-1,9.665391922E0,9.675865846E0
1.946406209E0,-7.781155407E-2,-4.441244006E-1,9.658209801E0,9.668728855E0
1.956328260E0,-7.900865376E-2,-4.513070285E-1,9.660603523E0,9.671462187E0
1.966348374E0,-8.259996027E-2,-4.548983276E-1,9.678560257E0,9.689596684E0
1.976555020E0,-7.781155407E-2,-4.489128292E-1,9.667786598E0,9.678516161E0
1.986400895E0,-7.781155407E-2,-4.465186298E-1,9.672574997E0,9.683188555E0
1.996350681E0,-7.661445439E-2,-4.525041282E-1,9.661801338E0,9.672695325E0
2.006316772E0,-7.661445439E-2,-4.489128292E-1,9.662998199E0,9.673723518E0
2.016274557E0,-7.900865376E-2,-4.537012279E-1,9.661801338E0,9.672770662E0
2.026348554E0,-7.422025502E-2,-4.501099288E-1,9.668983459E0,9.679739084E0
2.036333834E0,-7.422025502E-2,-4.513070285E-1,9.673771858E0,9.684577876E0
2.046661422E0,-7.541735470E-2,-4.620809257E-1,9.672574997E0,9.683899712E0
2.056459617E0,-7.422025502E-2,-4.537012279E-1,9.662998199E0,9.673928243E0
2.066391657E0,-7.900865376E-2,-4.537012279E-1,9.660603523E0,9.671574205E0
2.076328067E0,-7.781155407E-2,-4.537012279E-1,9.667786598E0,9.678739440E0
2.086279684E0,-8.379705995E-2,-4.548983276E-1,9.677363396E0,9.688411466E0
2.096355414E0,-7.541735470E-2,-4.501099288E-1,9.664195061E0,9.674965266E0
2.106347524E0,-7.302315533E-2,-4.429273009E-1,9.658209801E0,9.668636591E0
2.116348839E0,-6.823474914E-2,-4.537012279E-1,9.664195061E0,9.675079687E0
2.126788013E0,-7.182604820E-2,-4.572925270E-1,9.655815125E0,9.666904425E0
2.136537131E0,-7.302315533E-2,-4.477157295E-1,9.664195061E0,9.674835809E0
2.146485544E0,-7.661445439E-2,-4.513070285E-1,9.676166534E0,9.686988521E0
2.156430193E0,-8.499415964E-2,-4.489128292E-1,9.672574997E0,9.683359634E0
2.166426710E0,-7.781155407E-2,-4.501099288E-1,9.657012939E0,9.667810119E0
2.176459839E0,-7.781155407E-2,-4.513070285E-1,9.662998199E0,9.673844472E0
2.186427627E0,-8.499415964E-2,-4.477157295E-1,9.672574997E0,9.683304212E0
2.196335844E0,-7.422025502E-2,-4.537012279E-1,9.668983459E0,9.679906745E0
